Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651107452,2022-04-28T00:57:32Z,AAL1272,"25.802719,-80.260773",700,181,85
1651107458,2022-04-28T00:57:38Z,AAL1272,"25.802902,-80.256958",950,182,89
1651107461,2022-04-28T00:57:41Z,AAL1272,"25.802788,-80.252174",1075,183,92
1651107464,2022-04-28T00:57:44Z,AAL1272,"25.802462,-80.249115",1200,183,96
1651107467,2022-04-28T00:57:47Z,AAL1272,"25.801996,-80.246521",1300,183,101
1651107470,2022-04-28T00:57:50Z,AAL1272,"25.801346,-80.243881",1400,185,107
1651107471,2022-04-28T00:57:51Z,AAL1272,"25.801208,-80.243431",1425,183,105
1651107472,2022-04-28T00:57:52Z,AAL1272,"25.800751,-80.242104",1450,185,107
1651107473,2022-04-28T00:57:53Z,AAL1272,"25.800476,-80.241188",1475,188,111
1651107474,2022-04-28T00:57:54Z,AAL1272,"25.800247,-80.240631",1500,188,111
1651107476,2022-04-28T00:57:56Z,AAL1272,"25.799194,-80.238091",1525,191,115
1651107478,2022-04-28T00:57:58Z,AAL1272,"25.798645,-80.236816",1550,192,116
1651107479,2022-04-28T00:57:59Z,AAL1272,"25.798412,-80.23642",1575,193,117
1651107481,2022-04-28T00:58:01Z,AAL1272,"25.797482,-80.23455",1625,195,119
1651107482,2022-04-28T00:58:02Z,AAL1272,"25.79711,-80.233826",1650,196,119
1651107484,2022-04-28T00:58:04Z,AAL1272,"25.795898,-80.231445",1675,195,119
1651107488,2022-04-28T00:58:08Z,AAL1272,"25.793943,-80.227768",1750,205,120
1651107491,2022-04-28T00:58:11Z,AAL1272,"25.792465,-80.225014",1825,209,120
1651107493,2022-04-28T00:58:13Z,AAL1272,"25.791275,-80.222878",1850,211,121
1651107495,2022-04-28T00:58:15Z,AAL1272,"25.790545,-80.221497",1875,213,121
1651107499,2022-04-28T00:58:19Z,AAL1272,"25.788254,-80.217491",1950,218,122
1651107502,2022-04-28T00:58:22Z,AAL1272,"25.786652,-80.214691",2000,223,122
1651107505,2022-04-28T00:58:25Z,AAL1272,"25.784958,-80.211754",2075,227,122
1651107508,2022-04-28T00:58:28Z,AAL1272,"25.783585,-80.209351",2125,232,122
1651107514,2022-04-28T00:58:34Z,AAL1272,"25.779739,-80.202538",2250,240,121
1651107519,2022-04-28T00:58:39Z,AAL1272,"25.776672,-80.196838",2350,246,120
1651107526,2022-04-28T00:58:46Z,AAL1272,"25.773056,-80.189972",2550,252,119
1651107532,2022-04-28T00:58:52Z,AAL1272,"25.769485,-80.182953",2800,254,119
1651107537,2022-04-28T00:58:57Z,AAL1272,"25.766144,-80.176292",3050,255,119
1651107544,2022-04-28T00:59:04Z,AAL1272,"25.762707,-80.169518",3325,257,119
1651107550,2022-04-28T00:59:10Z,AAL1272,"25.759232,-80.162506",3550,260,118
1651107556,2022-04-28T00:59:16Z,AAL1272,"25.755678,-80.155319",3775,264,118
1651107562,2022-04-28T00:59:22Z,AAL1272,"25.751724,-80.147301",4025,266,118
1651107567,2022-04-28T00:59:27Z,AAL1272,"25.748703,-80.141045",4250,267,117
1651107574,2022-04-28T00:59:34Z,AAL1272,"25.745249,-80.132309",4500,268,110
1651107577,2022-04-28T00:59:37Z,AAL1272,"25.744308,-80.128326",4625,268,104
1651107580,2022-04-28T00:59:40Z,AAL1272,"25.743853,-80.125626",4775,268,97
1651107581,2022-04-28T00:59:41Z,AAL1272,"25.74362,-80.123032",4825,268,97
1651107585,2022-04-28T00:59:45Z,AAL1272,"25.743484,-80.120445",4975,268,90
1651107588,2022-04-28T00:59:48Z,AAL1272,"25.743668,-80.113701",5100,267,87
1651107590,2022-04-28T00:59:50Z,AAL1272,"25.743992,-80.111008",5225,267,81
1651107594,2022-04-28T00:59:54Z,AAL1272,"25.744492,-80.108032",5350,268,78
