Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651111498,2022-04-28T02:04:58Z,JIA5041,"38.856861,-77.041687",0,0,222
1651113276,2022-04-28T02:34:36Z,JIA5041,"38.85067,-77.037697",137,118,355
1651113282,2022-04-28T02:34:42Z,JIA5041,"38.854279,-77.03801",75,136,356
1651113289,2022-04-28T02:34:49Z,JIA5041,"38.858028,-77.038406",281,136,356
1651113292,2022-04-28T02:34:52Z,JIA5041,"38.859852,-77.03878",406,134,351
1651113295,2022-04-28T02:34:55Z,JIA5041,"38.86166,-77.039268",531,133,347
1651113297,2022-04-28T02:34:57Z,JIA5041,"38.862831,-77.039795",375,130,342
1651113300,2022-04-28T02:35:00Z,JIA5041,"38.864414,-77.040649",500,131,336
1651113303,2022-04-28T02:35:03Z,JIA5041,"38.866287,-77.041924",625,131,332
1651113306,2022-04-28T02:35:06Z,JIA5041,"38.868046,-77.043274",750,134,329
1651113309,2022-04-28T02:35:09Z,JIA5041,"38.869442,-77.044312",875,135,328
1651113312,2022-04-28T02:35:12Z,JIA5041,"38.870773,-77.045387",975,136,328
1651113315,2022-04-28T02:35:15Z,JIA5041,"38.872742,-77.046883",1075,136,328
1651113318,2022-04-28T02:35:18Z,JIA5041,"38.874565,-77.048462",1225,136,326
1651113321,2022-04-28T02:35:21Z,JIA5041,"38.875729,-77.049438",1375,136,326
1651113324,2022-04-28T02:35:24Z,JIA5041,"38.877548,-77.051003",1500,136,325
1651113327,2022-04-28T02:35:27Z,JIA5041,"38.878845,-77.052185",1625,135,325
1651113330,2022-04-28T02:35:30Z,JIA5041,"38.880707,-77.053833",1750,136,325
1651113334,2022-04-28T02:35:34Z,JIA5041,"38.88229,-77.055237",1850,139,324
1651113335,2022-04-28T02:35:35Z,JIA5041,"38.882851,-77.055725",1875,140,324
1651113341,2022-04-28T02:35:41Z,JIA5041,"38.886387,-77.058899",2025,147,325
1651113347,2022-04-28T02:35:47Z,JIA5041,"38.889599,-77.061829",2150,154,323
1651113353,2022-04-28T02:35:53Z,JIA5041,"38.893295,-77.065865",2300,161,319
1651113356,2022-04-28T02:35:56Z,JIA5041,"38.894905,-77.06781",2375,164,316
1651113359,2022-04-28T02:35:59Z,JIA5041,"38.896088,-77.069328",2475,168,314
1651113362,2022-04-28T02:36:02Z,JIA5041,"38.897873,-77.071838",2600,168,314
1651113365,2022-04-28T02:36:05Z,JIA5041,"38.899422,-77.074219",2800,167,309
1651113368,2022-04-28T02:36:08Z,JIA5041,"38.900894,-77.076614",2950,167,307
1651113371,2022-04-28T02:36:11Z,JIA5041,"38.902309,-77.079163",3125,168,305
1651113374,2022-04-28T02:36:14Z,JIA5041,"38.90361,-77.081604",3275,169,303
1651113377,2022-04-28T02:36:17Z,JIA5041,"38.904922,-77.084259",3400,171,302
1651113380,2022-04-28T02:36:20Z,JIA5041,"38.906158,-77.086884",3550,173,301
1651113383,2022-04-28T02:36:23Z,JIA5041,"38.907429,-77.089661",3650,176,301
1651113386,2022-04-28T02:36:26Z,JIA5041,"38.908871,-77.092529",3750,179,303
1651113389,2022-04-28T02:36:29Z,JIA5041,"38.910095,-77.094765",3850,182,305
1651113392,2022-04-28T02:36:32Z,JIA5041,"38.91188,-77.097755",3925,187,308
1651113398,2022-04-28T02:36:38Z,JIA5041,"38.915359,-77.102768",4025,198,313
1651113401,2022-04-28T02:36:41Z,JIA5041,"38.917297,-77.105225",4050,205,315
1651113404,2022-04-28T02:36:44Z,JIA5041,"38.919487,-77.107727",4100,212,318
1651113407,2022-04-28T02:36:47Z,JIA5041,"38.921906,-77.110413",4150,214,319
1651113409,2022-04-28T02:36:49Z,JIA5041,"38.923443,-77.112",4225,215,321
1651113412,2022-04-28T02:36:52Z,JIA5041,"38.925613,-77.114113",4350,217,323
1651113415,2022-04-28T02:36:55Z,JIA5041,"38.927353,-77.115723",4475,219,323
1651113418,2022-04-28T02:36:58Z,JIA5041,"38.930832,-77.118767",4600,221,325
1651113421,2022-04-28T02:37:01Z,JIA5041,"38.933441,-77.120979",4725,226,326
1651113423,2022-04-28T02:37:03Z,JIA5041,"38.934383,-77.121765",4800,228,327
1651113427,2022-04-28T02:37:07Z,JIA5041,"38.937332,-77.124199",4950,230,327
1651113430,2022-04-28T02:37:10Z,JIA5041,"38.941681,-77.127785",5075,230,327
1651113441,2022-04-28T02:37:21Z,JIA5041,"38.952255,-77.136024",5600,236,330
1651113454,2022-04-28T02:37:34Z,JIA5041,"38.964798,-77.143906",6225,242,337
1651113456,2022-04-28T02:37:36Z,JIA5041,"38.967636,-77.145042",6375,246,343
1651113460,2022-04-28T02:37:40Z,JIA5041,"38.97171,-77.146118",6550,248,349
1651113463,2022-04-28T02:37:43Z,JIA5041,"38.97414,-77.146423",6700,252,356
1651113466,2022-04-28T02:37:46Z,JIA5041,"38.978714,-77.14653",6900,254,357
1651113468,2022-04-28T02:37:48Z,JIA5041,"38.979904,-77.146477",7050,255,1
1651113471,2022-04-28T02:37:51Z,JIA5041,"38.984894,-77.145576",7250,259,9
1651113475,2022-04-28T02:37:55Z,JIA5041,"38.98938,-77.144203",7450,262,15
1651113478,2022-04-28T02:37:58Z,JIA5041,"38.992859,-77.142715",7625,264,18
1651113481,2022-04-28T02:38:01Z,JIA5041,"38.996391,-77.140808",7800,267,23
1651113484,2022-04-28T02:38:04Z,JIA5041,"38.99979,-77.138672",7975,269,25
1651113487,2022-04-28T02:38:07Z,JIA5041,"39.002628,-77.136658",8150,271,29
1651113490,2022-04-28T02:38:10Z,JIA5041,"39.00584,-77.134033",8325,273,33
