Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651113576,2022-04-28T02:39:36Z,AAL728,"39.872108,-75.252563",0,0,47
1651113617,2022-04-28T02:40:17Z,AAL728,"39.871902,-75.252777",0,2,28
1651113636,2022-04-28T02:40:36Z,AAL728,"39.871685,-75.252853",0,3,19
1651113656,2022-04-28T02:40:56Z,AAL728,"39.871479,-75.25296",0,2,351
1651113682,2022-04-28T02:41:22Z,AAL728,"39.871273,-75.25296",0,2,300
1651113702,2022-04-28T02:41:42Z,AAL728,"39.871166,-75.252747",0,1,272
1651113744,2022-04-28T02:42:24Z,AAL728,"39.871864,-75.252808",0,0,264
1651113779,2022-04-28T02:42:59Z,AAL728,"39.871178,-75.252579",0,0,264
1651113872,2022-04-28T02:44:32Z,AAL728,"39.871124,-75.252808",0,4,264
1651113884,2022-04-28T02:44:44Z,AAL728,"39.871067,-75.25312",0,5,267
1651113890,2022-04-28T02:44:50Z,AAL728,"39.871025,-75.253326",0,6,267
1651113897,2022-04-28T02:44:57Z,AAL728,"39.870975,-75.25354",0,6,267
1651113902,2022-04-28T02:45:02Z,AAL728,"39.870922,-75.253784",0,7,267
1651113910,2022-04-28T02:45:10Z,AAL728,"39.870861,-75.25412",0,7,267
1651113916,2022-04-28T02:45:16Z,AAL728,"39.870815,-75.254379",0,8,267
1651113922,2022-04-28T02:45:22Z,AAL728,"39.87077,-75.254669",0,8,270
1651113927,2022-04-28T02:45:27Z,AAL728,"39.870758,-75.254929",0,9,275
1651113931,2022-04-28T02:45:31Z,AAL728,"39.870747,-75.255157",0,8,278
1651113936,2022-04-28T02:45:36Z,AAL728,"39.870724,-75.255386",0,9,275
1651113943,2022-04-28T02:45:43Z,AAL728,"39.870667,-75.255768",0,10,270
1651113950,2022-04-28T02:45:50Z,AAL728,"39.870586,-75.256157",0,10,267
1651113954,2022-04-28T02:45:54Z,AAL728,"39.870537,-75.256424",0,11,267
1651113958,2022-04-28T02:45:58Z,AAL728,"39.87048,-75.256683",0,11,267
1651113961,2022-04-28T02:46:01Z,AAL728,"39.870434,-75.256897",0,11,267
1651113968,2022-04-28T02:46:08Z,AAL728,"39.870369,-75.257225",0,9,267
1651113976,2022-04-28T02:46:16Z,AAL728,"39.870232,-75.257614",0,8,255
1651113983,2022-04-28T02:46:23Z,AAL728,"39.870014,-75.257828",0,9,230
1651113988,2022-04-28T02:46:28Z,AAL728,"39.869797,-75.257874",0,9,205
1651113993,2022-04-28T02:46:33Z,AAL728,"39.869591,-75.257812",0,10,188
1651114000,2022-04-28T02:46:40Z,AAL728,"39.869255,-75.257706",0,11,180
1651114005,2022-04-28T02:46:45Z,AAL728,"39.869022,-75.257645",0,12,177
1651114013,2022-04-28T02:46:53Z,AAL728,"39.868584,-75.257484",0,12,177
1651114019,2022-04-28T02:46:59Z,AAL728,"39.868198,-75.257355",0,13,177
1651114028,2022-04-28T02:47:08Z,AAL728,"39.867657,-75.257172",0,14,177
1651114033,2022-04-28T02:47:13Z,AAL728,"39.867359,-75.25708",0,15,177
1651114039,2022-04-28T02:47:19Z,AAL728,"39.866871,-75.256912",0,16,177
1651114047,2022-04-28T02:47:27Z,AAL728,"39.86644,-75.25676",0,12,177
1651114055,2022-04-28T02:47:35Z,AAL728,"39.866043,-75.256599",0,10,171
1651114060,2022-04-28T02:47:40Z,AAL728,"39.865883,-75.256378",0,10,149
1651114066,2022-04-28T02:47:46Z,AAL728,"39.865826,-75.255974",0,11,112
1651114081,2022-04-28T02:48:01Z,AAL728,"39.865997,-75.25502",0,12,87
1651114085,2022-04-28T02:48:05Z,AAL728,"39.866066,-75.254723",0,13,87
1651114088,2022-04-28T02:48:08Z,AAL728,"39.866116,-75.254486",0,13,87
1651114091,2022-04-28T02:48:11Z,AAL728,"39.86615,-75.254272",0,13,87
1651114096,2022-04-28T02:48:16Z,AAL728,"39.86623,-75.253845",0,14,87
1651114104,2022-04-28T02:48:24Z,AAL728,"39.866375,-75.253166",0,16,87
1651114111,2022-04-28T02:48:31Z,AAL728,"39.866524,-75.252434",0,18,87
1651114119,2022-04-28T02:48:39Z,AAL728,"39.866684,-75.251572",0,18,87
1651114126,2022-04-28T02:48:46Z,AAL728,"39.866859,-75.250732",0,19,87
1651114131,2022-04-28T02:48:51Z,AAL728,"39.866974,-75.250122",0,19,87
1651114138,2022-04-28T02:48:58Z,AAL728,"39.867119,-75.249374",0,18,87
1651114144,2022-04-28T02:49:04Z,AAL728,"39.867256,-75.248749",0,18,87
1651114153,2022-04-28T02:49:13Z,AAL728,"39.867451,-75.24778",0,19,87
1651114159,2022-04-28T02:49:19Z,AAL728,"39.867592,-75.247055",0,18,87
1651114168,2022-04-28T02:49:28Z,AAL728,"39.867756,-75.246216",0,17,87
1651114173,2022-04-28T02:49:33Z,AAL728,"39.867874,-75.245659",0,16,87
1651114180,2022-04-28T02:49:40Z,AAL728,"39.867977,-75.245102",0,15,87
1651114187,2022-04-28T02:49:47Z,AAL728,"39.868114,-75.244431",0,16,87
1651114193,2022-04-28T02:49:53Z,AAL728,"39.868244,-75.243805",0,16,87
1651114200,2022-04-28T02:50:00Z,AAL728,"39.868374,-75.243164",0,17,87
1651114206,2022-04-28T02:50:06Z,AAL728,"39.868504,-75.242508",0,18,87
1651114214,2022-04-28T02:50:14Z,AAL728,"39.868675,-75.241615",0,19,87
1651114219,2022-04-28T02:50:19Z,AAL728,"39.868778,-75.241066",0,18,87
1651114226,2022-04-28T02:50:26Z,AAL728,"39.868927,-75.240364",0,19,87
1651114234,2022-04-28T02:50:34Z,AAL728,"39.869099,-75.239449",0,17,87
1651114240,2022-04-28T02:50:40Z,AAL728,"39.869202,-75.238899",0,17,87
1651114246,2022-04-28T02:50:46Z,AAL728,"39.869339,-75.238235",0,18,87
1651114252,2022-04-28T02:50:52Z,AAL728,"39.869488,-75.237518",0,18,87
1651114258,2022-04-28T02:50:58Z,AAL728,"39.869606,-75.236954",0,17,87
1651114266,2022-04-28T02:51:06Z,AAL728,"39.869762,-75.236168",0,15,87
1651114275,2022-04-28T02:51:15Z,AAL728,"39.869907,-75.235443",0,14,87
1651114287,2022-04-28T02:51:27Z,AAL728,"39.870037,-75.234703",0,9,92
1651114291,2022-04-28T02:51:31Z,AAL728,"39.869991,-75.234482",0,9,109
1651114296,2022-04-28T02:51:36Z,AAL728,"39.869816,-75.234268",0,10,140
1651114302,2022-04-28T02:51:42Z,AAL728,"39.869583,-75.234146",0,10,165
1651114310,2022-04-28T02:51:50Z,AAL728,"39.869267,-75.234055",0,7,177
1651114318,2022-04-28T02:51:58Z,AAL728,"39.869064,-75.234138",0,5,205
1651114327,2022-04-28T02:52:07Z,AAL728,"39.868984,-75.23439",0,4,244
1651114339,2022-04-28T02:52:19Z,AAL728,"39.868931,-75.23468",0,4,264
1651114348,2022-04-28T02:52:28Z,AAL728,"39.868896,-75.234894",0,4,264
1651114356,2022-04-28T02:52:36Z,AAL728,"39.868839,-75.235123",0,5,264
1651114362,2022-04-28T02:52:42Z,AAL728,"39.868778,-75.23542",0,11,267
1651114368,2022-04-28T02:52:48Z,AAL728,"39.868595,-75.236328",0,38,267
1651114375,2022-04-28T02:52:55Z,AAL728,"39.86813,-75.238678",0,70,267
1651114397,2022-04-28T02:53:17Z,AAL728,"39.865101,-75.253723",0,154,254
1651114403,2022-04-28T02:53:23Z,AAL728,"39.864624,-75.255989",50,154,254
1651114408,2022-04-28T02:53:28Z,AAL728,"39.863007,-75.26355",300,156,255
1651114414,2022-04-28T02:53:34Z,AAL728,"39.861935,-75.268799",600,155,255
