Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651105550,2022-04-28T00:25:50Z,JBU238,"28.433727,-81.315956",0,6,92
1651106638,2022-04-28T00:43:58Z,JBU238,"28.433819,-81.316177",0,2,92
1651106654,2022-04-28T00:44:14Z,JBU238,"28.433828,-81.316383",0,3,95
1651106667,2022-04-28T00:44:27Z,JBU238,"28.433842,-81.316605",0,3,104
1651106683,2022-04-28T00:44:43Z,JBU238,"28.433865,-81.316849",0,3,160
1651106732,2022-04-28T00:45:32Z,JBU238,"28.433842,-81.31646",0,0,171
1651106767,2022-04-28T00:46:07Z,JBU238,"28.433956,-81.316895",0,0,171
1651106807,2022-04-28T00:46:47Z,JBU238,"28.433739,-81.316933",0,5,188
1651106815,2022-04-28T00:46:55Z,JBU238,"28.433537,-81.316978",0,5,191
1651106823,2022-04-28T00:47:03Z,JBU238,"28.433327,-81.317032",0,6,191
1651106831,2022-04-28T00:47:11Z,JBU238,"28.43306,-81.317154",0,9,202
1651106841,2022-04-28T00:47:21Z,JBU238,"28.432858,-81.317314",0,5,216
1651106850,2022-04-28T00:47:30Z,JBU238,"28.432686,-81.317551",0,7,230
1651106857,2022-04-28T00:47:37Z,JBU238,"28.432547,-81.317787",0,8,236
1651106865,2022-04-28T00:47:45Z,JBU238,"28.432411,-81.318031",0,7,236
1651106873,2022-04-28T00:47:53Z,JBU238,"28.432262,-81.318268",0,6,233
1651106882,2022-04-28T00:48:02Z,JBU238,"28.432001,-81.318405",0,8,202
1651106888,2022-04-28T00:48:08Z,JBU238,"28.431793,-81.318413",0,8,182
1651106894,2022-04-28T00:48:14Z,JBU238,"28.43157,-81.31842",0,8,180
1651106900,2022-04-28T00:48:20Z,JBU238,"28.43137,-81.318413",0,8,180
1651106905,2022-04-28T00:48:25Z,JBU238,"28.431141,-81.318413",0,8,180
1651106911,2022-04-28T00:48:31Z,JBU238,"28.430912,-81.318398",0,9,180
1651106917,2022-04-28T00:48:37Z,JBU238,"28.430639,-81.318405",0,10,180
1651106923,2022-04-28T00:48:43Z,JBU238,"28.430386,-81.318398",0,10,180
1651106929,2022-04-28T00:48:49Z,JBU238,"28.430054,-81.318398",0,11,180
1651106944,2022-04-28T00:49:04Z,JBU238,"28.429173,-81.318382",0,14,180
1651106951,2022-04-28T00:49:11Z,JBU238,"28.428749,-81.318382",0,14,180
1651106957,2022-04-28T00:49:17Z,JBU238,"28.428347,-81.318375",0,15,180
1651106963,2022-04-28T00:49:23Z,JBU238,"28.427902,-81.318375",0,14,180
1651106973,2022-04-28T00:49:33Z,JBU238,"28.427364,-81.318375",0,13,180
1651106978,2022-04-28T00:49:38Z,JBU238,"28.427031,-81.318367",0,14,180
1651106987,2022-04-28T00:49:47Z,JBU238,"28.426403,-81.318352",0,14,180
1651106994,2022-04-28T00:49:54Z,JBU238,"28.425934,-81.318359",0,15,180
1651107003,2022-04-28T00:50:03Z,JBU238,"28.425339,-81.318344",0,15,180
1651107009,2022-04-28T00:50:09Z,JBU238,"28.424938,-81.318344",0,14,180
1651107016,2022-04-28T00:50:16Z,JBU238,"28.424549,-81.318329",0,13,180
1651107024,2022-04-28T00:50:24Z,JBU238,"28.424034,-81.318329",0,12,180
1651107029,2022-04-28T00:50:29Z,JBU238,"28.423679,-81.318329",0,13,180
1651107050,2022-04-28T00:50:50Z,JBU238,"28.422215,-81.318451",0,17,194
1651107053,2022-04-28T00:50:53Z,JBU238,"28.421997,-81.31852",0,15,194
1651107058,2022-04-28T00:50:58Z,JBU238,"28.421654,-81.318619",0,15,194
1651107061,2022-04-28T00:51:01Z,JBU238,"28.42141,-81.318687",0,16,194
1651107066,2022-04-28T00:51:06Z,JBU238,"28.421059,-81.318764",0,16,188
1651107088,2022-04-28T00:51:28Z,JBU238,"28.419456,-81.318779",0,16,177
1651107105,2022-04-28T00:51:45Z,JBU238,"28.418186,-81.318764",0,14,180
1651107117,2022-04-28T00:51:57Z,JBU238,"28.417339,-81.318848",0,16,188
1651107123,2022-04-28T00:52:03Z,JBU238,"28.416824,-81.318848",0,18,180
1651107135,2022-04-28T00:52:15Z,JBU238,"28.415777,-81.318848",0,18,185
1651107140,2022-04-28T00:52:20Z,JBU238,"28.415543,-81.319061",0,12,222
1651107156,2022-04-28T00:52:36Z,JBU238,"28.415462,-81.319939",0,11,270
1651107159,2022-04-28T00:52:39Z,JBU238,"28.415451,-81.320168",0,13,270
1651107168,2022-04-28T00:52:48Z,JBU238,"28.415451,-81.320778",0,15,270
1651107176,2022-04-28T00:52:56Z,JBU238,"28.41544,-81.321434",0,16,270
1651107179,2022-04-28T00:52:59Z,JBU238,"28.415485,-81.321663",0,14,284
1651107183,2022-04-28T00:53:03Z,JBU238,"28.415661,-81.321892",0,14,312
1651107187,2022-04-28T00:53:07Z,JBU238,"28.415897,-81.322006",0,15,343
1651107191,2022-04-28T00:53:11Z,JBU238,"28.416161,-81.321991",0,15,349
1651107196,2022-04-28T00:53:16Z,JBU238,"28.416492,-81.321991",0,15,349
1651107199,2022-04-28T00:53:19Z,JBU238,"28.416765,-81.321999",0,16,356
