Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651112921,2022-04-28T02:28:41Z,GAJ833,"42.912739,-77.333023",975,131,303
1651112927,2022-04-28T02:28:47Z,GAJ833,"42.914932,-77.337494",1225,136,303
1651112933,2022-04-28T02:28:53Z,GAJ833,"42.916946,-77.341644",1500,136,303
1651112939,2022-04-28T02:28:59Z,GAJ833,"42.919395,-77.345909",1800,137,310
1651112942,2022-04-28T02:29:02Z,GAJ833,"42.920837,-77.34761",1950,136,318
1651112945,2022-04-28T02:29:05Z,GAJ833,"42.922329,-77.348915",2100,135,327
1651112948,2022-04-28T02:29:08Z,GAJ833,"42.924088,-77.350075",2275,136,333
1651112951,2022-04-28T02:29:11Z,GAJ833,"42.925957,-77.350945",2425,138,341
1651112954,2022-04-28T02:29:14Z,GAJ833,"42.928005,-77.351463",2575,140,349
1651112955,2022-04-28T02:29:15Z,GAJ833,"42.928238,-77.351463",2575,140,349
1651112958,2022-04-28T02:29:18Z,GAJ833,"42.930222,-77.351479",2700,145,349
1651112961,2022-04-28T02:29:21Z,GAJ833,"42.932236,-77.351097",2825,147,9
1651112964,2022-04-28T02:29:24Z,GAJ833,"42.934387,-77.350204",2975,151,18
1651112967,2022-04-28T02:29:27Z,GAJ833,"42.936386,-77.348785",3075,155,24
1651112970,2022-04-28T02:29:30Z,GAJ833,"42.938141,-77.347137",3200,160,33
1651112973,2022-04-28T02:29:33Z,GAJ833,"42.939831,-77.344795",3300,164,42
1651112976,2022-04-28T02:29:36Z,GAJ833,"42.941254,-77.342346",3400,173,53
1651112979,2022-04-28T02:29:39Z,GAJ833,"42.942486,-77.339302",3525,177,61
1651112982,2022-04-28T02:29:42Z,GAJ833,"42.943462,-77.336166",3625,182,67
1651112985,2022-04-28T02:29:45Z,GAJ833,"42.944347,-77.332634",3750,183,70
1651112988,2022-04-28T02:29:48Z,GAJ833,"42.945145,-77.329445",3850,185,71
1651112991,2022-04-28T02:29:51Z,GAJ833,"42.945881,-77.326157",3975,186,72
1651112994,2022-04-28T02:29:54Z,GAJ833,"42.94672,-77.322563",4075,188,73
1651112997,2022-04-28T02:29:57Z,GAJ833,"42.947525,-77.319031",4200,189,73
1651113000,2022-04-28T02:30:00Z,GAJ833,"42.948303,-77.315437",4325,190,73
1651113003,2022-04-28T02:30:03Z,GAJ833,"42.949036,-77.311874",4450,191,73
1651113006,2022-04-28T02:30:06Z,GAJ833,"42.949677,-77.308876",4550,191,73
1651113009,2022-04-28T02:30:09Z,GAJ833,"42.950409,-77.305359",4700,190,73
1651113017,2022-04-28T02:30:17Z,GAJ833,"42.952332,-77.296417",5050,188,73
1651113029,2022-04-28T02:30:29Z,GAJ833,"42.955444,-77.282623",5600,187,72
1651113041,2022-04-28T02:30:41Z,GAJ833,"42.958511,-77.269142",6125,186,72
1651113053,2022-04-28T02:30:53Z,GAJ833,"42.961166,-77.25631",6625,185,75
1651113064,2022-04-28T02:31:04Z,GAJ833,"42.963684,-77.24366",7100,184,73
1651113076,2022-04-28T02:31:16Z,GAJ833,"42.966553,-77.229767",7625,182,75
1651113090,2022-04-28T02:31:30Z,GAJ833,"42.969391,-77.214592",8225,179,74
1651113102,2022-04-28T02:31:42Z,GAJ833,"42.972107,-77.201378",8650,181,74
1651113114,2022-04-28T02:31:54Z,GAJ833,"42.974487,-77.187515",9025,186,77
1651113127,2022-04-28T02:32:07Z,GAJ833,"42.976913,-77.173523",9400,188,76
1651113139,2022-04-28T02:32:19Z,GAJ833,"42.979725,-77.159401",9800,188,73
1651113151,2022-04-28T02:32:31Z,GAJ833,"42.982361,-77.145935",10250,187,77
1651113157,2022-04-28T02:32:37Z,GAJ833,"42.982773,-77.138649",10425,194,88
1651113160,2022-04-28T02:32:40Z,GAJ833,"42.982681,-77.134949",10500,196,91
1651113163,2022-04-28T02:32:43Z,GAJ833,"42.982498,-77.131241",10575,198,93
1651113166,2022-04-28T02:32:46Z,GAJ833,"42.982147,-77.127296",10675,201,97
1651113169,2022-04-28T02:32:49Z,GAJ833,"42.981636,-77.123497",10725,205,100
1651113172,2022-04-28T02:32:52Z,GAJ833,"42.980896,-77.119553",10800,210,105
