Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651111212,2022-04-28T02:00:12Z,JBU676,"40.644154,-73.775925",0,0,0
1651113754,2022-04-28T02:42:34Z,JBU676,"40.643944,-73.77597",0,1,16
1651113790,2022-04-28T02:43:10Z,JBU676,"40.643723,-73.776077",0,1,30
1651113820,2022-04-28T02:43:40Z,JBU676,"40.64357,-73.776283",0,1,67
1651113843,2022-04-28T02:44:03Z,JBU676,"40.643524,-73.776505",0,1,92
1651113873,2022-04-28T02:44:33Z,JBU676,"40.643589,-73.776749",0,2,126
1651114043,2022-04-28T02:47:23Z,JBU676,"40.643383,-73.776657",0,5,157
1651114053,2022-04-28T02:47:33Z,JBU676,"40.643143,-73.77652",0,6,151
1651114062,2022-04-28T02:47:42Z,JBU676,"40.642925,-73.776352",0,7,151
1651114069,2022-04-28T02:47:49Z,JBU676,"40.642708,-73.776199",0,8,151
1651114075,2022-04-28T02:47:55Z,JBU676,"40.642502,-73.776031",0,9,151
1651114081,2022-04-28T02:48:01Z,JBU676,"40.642246,-73.775864",0,9,151
1651114087,2022-04-28T02:48:07Z,JBU676,"40.64201,-73.775681",0,9,149
1651114093,2022-04-28T02:48:13Z,JBU676,"40.641781,-73.77552",0,9,149
1651114099,2022-04-28T02:48:19Z,JBU676,"40.641571,-73.775345",0,9,149
1651114108,2022-04-28T02:48:28Z,JBU676,"40.641304,-73.775116",0,7,146
1651114116,2022-04-28T02:48:36Z,JBU676,"40.641083,-73.774887",0,7,135
1651114125,2022-04-28T02:48:45Z,JBU676,"40.640919,-73.774628",0,6,129
1651114133,2022-04-28T02:48:53Z,JBU676,"40.640785,-73.774384",0,7,126
1651114140,2022-04-28T02:49:00Z,JBU676,"40.640625,-73.77417",0,7,140
1651114147,2022-04-28T02:49:07Z,JBU676,"40.640408,-73.774162",0,7,191
1651114154,2022-04-28T02:49:14Z,JBU676,"40.640198,-73.774284",0,7,208
1651114161,2022-04-28T02:49:21Z,JBU676,"40.639977,-73.774445",0,8,210
1651114168,2022-04-28T02:49:28Z,JBU676,"40.639744,-73.774612",0,8,210
1651114174,2022-04-28T02:49:34Z,JBU676,"40.639523,-73.774788",0,9,210
1651114180,2022-04-28T02:49:40Z,JBU676,"40.639301,-73.774971",0,9,210
1651114186,2022-04-28T02:49:46Z,JBU676,"40.63908,-73.775146",0,10,210
1651114192,2022-04-28T02:49:52Z,JBU676,"40.638851,-73.775314",0,10,210
1651114198,2022-04-28T02:49:58Z,JBU676,"40.638603,-73.77552",0,10,210
1651114204,2022-04-28T02:50:04Z,JBU676,"40.638348,-73.775703",0,10,210
1651114210,2022-04-28T02:50:10Z,JBU676,"40.638115,-73.775909",0,10,210
1651114219,2022-04-28T02:50:19Z,JBU676,"40.637753,-73.776184",0,10,210
1651114225,2022-04-28T02:50:25Z,JBU676,"40.637497,-73.776375",0,10,210
1651114231,2022-04-28T02:50:31Z,JBU676,"40.637276,-73.77655",0,10,210
1651114237,2022-04-28T02:50:37Z,JBU676,"40.637009,-73.776749",0,10,210
1651114243,2022-04-28T02:50:43Z,JBU676,"40.636765,-73.776955",0,10,210
1651114249,2022-04-28T02:50:49Z,JBU676,"40.636509,-73.777161",0,11,210
1651114255,2022-04-28T02:50:55Z,JBU676,"40.636253,-73.777344",0,11,210
1651114261,2022-04-28T02:51:01Z,JBU676,"40.636044,-73.777504",0,5,210
1651114351,2022-04-28T02:52:31Z,JBU676,"40.635834,-73.777672",0,4,213
1651114361,2022-04-28T02:52:41Z,JBU676,"40.635612,-73.777863",0,6,210
1651114369,2022-04-28T02:52:49Z,JBU676,"40.635395,-73.778015",0,7,210
1651114377,2022-04-28T02:52:57Z,JBU676,"40.635155,-73.778214",0,8,213
1651114383,2022-04-28T02:53:03Z,JBU676,"40.634926,-73.778389",0,10,210
1651114389,2022-04-28T02:53:09Z,JBU676,"40.634693,-73.77858",0,10,210
1651114397,2022-04-28T02:53:17Z,JBU676,"40.634365,-73.778854",0,10,213
1651114402,2022-04-28T02:53:22Z,JBU676,"40.634155,-73.77903",0,9,213
1651114410,2022-04-28T02:53:30Z,JBU676,"40.633934,-73.779221",0,6,213
1651114418,2022-04-28T02:53:38Z,JBU676,"40.633724,-73.779282",0,5,177
1651114427,2022-04-28T02:53:47Z,JBU676,"40.633575,-73.779076",0,6,126
1651114435,2022-04-28T02:53:55Z,JBU676,"40.633461,-73.77887",0,4,123
1651114476,2022-04-28T02:54:36Z,JBU676,"40.633308,-73.778534",0,5,120
1651114667,2022-04-28T02:57:47Z,JBU676,"40.633141,-73.778168",0,5,120
1651114674,2022-04-28T02:57:54Z,JBU676,"40.633038,-73.777939",0,7,120
1651114682,2022-04-28T02:58:02Z,JBU676,"40.6329,-73.777649",0,8,120
1651114688,2022-04-28T02:58:08Z,JBU676,"40.632793,-73.777405",0,8,120
1651114695,2022-04-28T02:58:15Z,JBU676,"40.632645,-73.777061",0,10,120
1651114702,2022-04-28T02:58:22Z,JBU676,"40.632465,-73.776688",0,12,120
1651114709,2022-04-28T02:58:29Z,JBU676,"40.632271,-73.776222",0,12,120
1651114716,2022-04-28T02:58:36Z,JBU676,"40.632088,-73.775848",0,11,120
1651114722,2022-04-28T02:58:42Z,JBU676,"40.631927,-73.775497",0,11,120
1651114729,2022-04-28T02:58:49Z,JBU676,"40.631725,-73.775047",0,11,120
1651114736,2022-04-28T02:58:56Z,JBU676,"40.631573,-73.774704",0,11,120
1651114742,2022-04-28T02:59:02Z,JBU676,"40.631432,-73.774414",0,8,120
1651114748,2022-04-28T02:59:08Z,JBU676,"40.631329,-73.774178",0,6,120
1651114812,2022-04-28T03:00:12Z,JBU676,"40.631199,-73.773895",0,4,120
1651114821,2022-04-28T03:00:21Z,JBU676,"40.631104,-73.773682",0,5,120
1651114829,2022-04-28T03:00:29Z,JBU676,"40.631001,-73.773453",0,6,120
1651114836,2022-04-28T03:00:36Z,JBU676,"40.630898,-73.773209",0,7,120
1651114911,2022-04-28T03:01:51Z,JBU676,"40.630795,-73.772995",0,0,120
1651114924,2022-04-28T03:02:04Z,JBU676,"40.630699,-73.772789",0,4,120
1651114932,2022-04-28T03:02:12Z,JBU676,"40.6306,-73.772568",0,6,120
1651114938,2022-04-28T03:02:18Z,JBU676,"40.630501,-73.772354",0,7,120
1651114944,2022-04-28T03:02:24Z,JBU676,"40.630398,-73.772118",0,8,120
