Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651114394,2022-04-28T02:53:14Z,GEC8163,"40.651775,-73.798508",0,7,61
1651114400,2022-04-28T02:53:20Z,GEC8163,"40.651825,-73.798302",0,5,73
1651114408,2022-04-28T02:53:28Z,GEC8163,"40.651726,-73.798096",0,5,106
1651114419,2022-04-28T02:53:39Z,GEC8163,"40.651497,-73.797943",0,5,146
1651114429,2022-04-28T02:53:49Z,GEC8163,"40.651241,-73.797745",0,7,149
1651114439,2022-04-28T02:53:59Z,GEC8163,"40.650963,-73.7976",0,6,163
1651114449,2022-04-28T02:54:09Z,GEC8163,"40.650707,-73.797745",0,6,199
1651114456,2022-04-28T02:54:16Z,GEC8163,"40.650497,-73.797882",0,7,205
1651114463,2022-04-28T02:54:23Z,GEC8163,"40.650249,-73.797989",0,8,199
1651114469,2022-04-28T02:54:29Z,GEC8163,"40.650021,-73.798065",0,9,194
1651114475,2022-04-28T02:54:35Z,GEC8163,"40.649811,-73.79808",0,7,185
1651114482,2022-04-28T02:54:42Z,GEC8163,"40.649597,-73.79808",0,7,180
1651114488,2022-04-28T02:54:48Z,GEC8163,"40.649391,-73.79808",0,7,180
1651114494,2022-04-28T02:54:54Z,GEC8163,"40.649151,-73.79808",0,8,180
1651114501,2022-04-28T02:55:01Z,GEC8163,"40.648865,-73.798096",0,9,180
1651114507,2022-04-28T02:55:07Z,GEC8163,"40.648579,-73.798096",0,10,180
1651114512,2022-04-28T02:55:12Z,GEC8163,"40.648319,-73.798103",0,11,180
1651114518,2022-04-28T02:55:18Z,GEC8163,"40.648041,-73.79808",0,10,177
1651114525,2022-04-28T02:55:25Z,GEC8163,"40.647778,-73.798004",0,8,168
1651114535,2022-04-28T02:55:35Z,GEC8163,"40.647388,-73.797806",0,10,157
1651114541,2022-04-28T02:55:41Z,GEC8163,"40.647179,-73.79763",0,10,149
1651114547,2022-04-28T02:55:47Z,GEC8163,"40.646885,-73.797333",0,12,143
1651114553,2022-04-28T02:55:53Z,GEC8163,"40.64661,-73.797073",0,13,143
1651114557,2022-04-28T02:55:57Z,GEC8163,"40.6464,-73.796883",0,14,143
1651114562,2022-04-28T02:56:02Z,GEC8163,"40.646187,-73.796661",0,12,143
1651114570,2022-04-28T02:56:10Z,GEC8163,"40.645947,-73.796448",0,6,143
1651114579,2022-04-28T02:56:19Z,GEC8163,"40.645737,-73.796257",0,6,146
1651114586,2022-04-28T02:56:26Z,GEC8163,"40.645515,-73.79612",0,7,154
1651114592,2022-04-28T02:56:32Z,GEC8163,"40.645306,-73.796059",0,7,163
1651114599,2022-04-28T02:56:39Z,GEC8163,"40.645088,-73.796021",0,8,171
1651114605,2022-04-28T02:56:45Z,GEC8163,"40.644859,-73.796005",0,8,174
1651114611,2022-04-28T02:56:51Z,GEC8163,"40.644653,-73.795975",0,8,174
1651114617,2022-04-28T02:56:57Z,GEC8163,"40.644421,-73.795944",0,8,174
1651114624,2022-04-28T02:57:04Z,GEC8163,"40.644108,-73.795929",0,10,177
1651114629,2022-04-28T02:57:09Z,GEC8163,"40.643864,-73.795929",0,11,180
1651114635,2022-04-28T02:57:15Z,GEC8163,"40.643509,-73.795959",0,13,182
1651114639,2022-04-28T02:57:19Z,GEC8163,"40.643291,-73.795975",0,12,182
1651114645,2022-04-28T02:57:25Z,GEC8163,"40.642979,-73.796005",0,10,182
1651114650,2022-04-28T02:57:30Z,GEC8163,"40.642769,-73.796021",0,10,182
1651114657,2022-04-28T02:57:37Z,GEC8163,"40.642418,-73.796043",0,12,182
1651114665,2022-04-28T02:57:45Z,GEC8163,"40.641895,-73.796097",0,14,182
1651114674,2022-04-28T02:57:54Z,GEC8163,"40.641369,-73.796127",0,12,182
1651114679,2022-04-28T02:57:59Z,GEC8163,"40.64114,-73.79612",0,9,177
1651114686,2022-04-28T02:58:06Z,GEC8163,"40.640919,-73.796074",0,8,171
1651114692,2022-04-28T02:58:12Z,GEC8163,"40.640675,-73.795959",0,9,163
1651114699,2022-04-28T02:58:19Z,GEC8163,"40.640396,-73.795776",0,10,151
1651114715,2022-04-28T02:58:35Z,GEC8163,"40.639915,-73.795242",0,8,135
1651114730,2022-04-28T02:58:50Z,GEC8163,"40.639561,-73.794449",0,10,118
1651114740,2022-04-28T02:59:00Z,GEC8163,"40.639278,-73.793823",0,12,120
1651114744,2022-04-28T02:59:04Z,GEC8163,"40.639172,-73.793587",0,13,120
1651114765,2022-04-28T02:59:25Z,GEC8163,"40.638496,-73.792122",0,10,120
1651114771,2022-04-28T02:59:31Z,GEC8163,"40.638359,-73.791809",0,10,120
1651114779,2022-04-28T02:59:39Z,GEC8163,"40.638165,-73.791367",0,11,120
1651114786,2022-04-28T02:59:46Z,GEC8163,"40.63797,-73.790924",0,12,120
1651114793,2022-04-28T02:59:53Z,GEC8163,"40.637764,-73.790482",0,13,120
